density,temperature,type,x,y,source
1.1,3300,rings,8.0,0.020833333333333332,GT
1.1,3300,rings,9.0,0.041666666666666664,GT
1.1,3300,rings,10.0,0.010416666666666666,GT
1.1,3300,coordination,0.0,0.0,GT
1.1,3300,coordination,1.0,0.0,GT
1.1,3300,coordination,2.0,0.02,GT
1.1,3300,coordination,3.0,0.98,GT
1.1,3400,rings,4.0,0.0,GT
1.1,3400,rings,5.0,0.26373626373626374,GT
1.1,3400,rings,6.0,0.5824175824175825,GT
1.1,3400,rings,7.0,0.08791208791208792,GT
1.1,3400,rings,8.0,0.054945054945054944,GT
1.1,3400,rings,9.0,0.01098901098901099,GT
1.1,3400,rings,10.0,0.0,GT
1.1,3400,coordination,0.0,0.0,GT
1.1,3400,coordination,1.0,0.005,GT
1.1,3400,coordination,2.0,0.045,GT
1.1,3400,coordination,3.0,0.945,GT
1.1,3400,coordination,4.0,0.005,GT
1.1,3500,rings,4.0,0.0,GT
1.1,3500,rings,5.0,0.17346938775510204,GT
1.1,3500,rings,6.0,0.6326530612244898,GT
1.1,3500,rings,7.0,0.1326530612244898,GT
1.1,3500,rings,8.0,0.030612244897959183,GT
1.1,3500,rings,9.0,0.02040816326530612,GT
1.1,3500,rings,10.0,0.01020408163265306,GT
1.1,3500,coordination,0.0,0.0,GT
1.1,3500,coordination,1.0,0.0,GT
1.1,3500,coordination,2.0,0.005,GT
1.1,3500,coordination,3.0,0.99,GT
1.1,3500,coordination,4.0,0.005,GT
1.1,3600,rings,4.0,0.010101010101010102,GT
1.1,3600,rings,5.0,0.2222222222222222,GT
1.1,3600,rings,6.0,0.5454545454545454,GT
1.1,3600,rings,7.0,0.16161616161616163,GT
1.1,3600,rings,8.0,0.06060606060606061,GT
1.1,3600,rings,9.0,0.0,GT
1.1,3600,rings,10.0,0.0,GT
1.1,3600,coordination,0.0,0.0,GT
1.1,3600,coordination,1.0,0.0,GT
1.1,3600,coordination,2.0,0.01,GT
1.1,3600,coordination,3.0,0.99,GT
